experiment,build,cell,aggregate_tps,ttft_avg_ms,ttft_p99_ms,itl_avg_ms,per_user_tps,spec_accept_rate,server_utilization
exp09-bf16-dflash,harness-v0.4.8,c32_ctx0,1123.499,362.891,482.367,25.739,39.727,0.2371,0.473
exp09-bf16-dflash,harness-v0.4.8,c32_ctx16384,1107.631,1628.924,3135.303,26.586,38.994,0.2749,0.494
exp09-bf16-dflash,harness-v0.4.8,c32_ctx32768,1006.158,3707.804,5754.953,28.684,37.058,0.24,0.543
exp09-bf16-dflash,harness-v0.4.8,c32_ctx65536,938.002,4637.228,7663.997,31.104,33.139,0.2579,0.0895
exp09-bf16-dflash,harness-v0.4.8,c32_ctx134144,786.164,12234.607,15775.299,38.434,26.109,0.2365,0.1377
exp09-bf16-dflash,harness-v0.4.8,c1_ctx0,94.931,66.836,74.926,9.385,113.581,0.4435,0.0148
exp09-bf16-dflash,harness-v0.4.8,c1_ctx16384,87.067,142.881,147.065,11.348,88.125,0.0909,0.0311
exp09-bf16-dflash,harness-v0.4.8,c1_ctx32768,84.553,230.252,231.504,11.522,86.891,0.197,0.0459
exp09-bf16-dflash,harness-v0.4.8,c1_ctx65536,85.162,291.201,295.965,11.497,87.111,0.2227,0.0762
exp09-bf16-dflash,harness-v0.4.8,c1_ctx134144,84.179,501.199,502.639,11.557,86.535,0.2125,0.1385
exp09-bf16-dflash,harness-v0.4.8,c2_ctx0,169.842,123.233,142.237,11.557,86.637,0.2363,0.0319
exp09-bf16-dflash,harness-v0.4.8,c2_ctx16384,175.435,211.512,277.375,11.138,89.936,0.2344,0.0475
exp09-bf16-dflash,harness-v0.4.8,c2_ctx32768,164.051,311.498,450.328,11.825,84.842,0.2339,0.0622
exp09-bf16-dflash,harness-v0.4.8,c2_ctx65536,169.592,406.206,539.802,11.552,87.067,0.2167,0.0926
exp09-bf16-dflash,harness-v0.4.8,c2_ctx134144,165.103,677.299,918.772,11.789,84.938,0.2198,0.154
exp09-bf16-dflash,harness-v0.4.8,c4_ctx0,330.463,142.061,176.347,11.872,84.538,0.2198,0.063
exp09-bf16-dflash,harness-v0.4.8,c4_ctx16384,319.351,284.56,494.414,12.161,82.58,0.236,0.0794
exp09-bf16-dflash,harness-v0.4.8,c4_ctx32768,319.023,425.366,794.592,12.163,83.192,0.2231,0.0934
exp09-bf16-dflash,harness-v0.4.8,c4_ctx65536,316.118,620.107,1090.987,12.179,82.52,0.2672,0.1221
