experiment,build,config,phase,rep,cell,concurrency,context_tokens,aggregate_tps,per_request_avg_tps,ttft_avg_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,itl_avg_ms,itl_p50_ms,itl_p90_ms,itl_p99_ms,output_tps_per_user_avg,output_tps_per_user_p50,e2e_output_tps_per_user_avg,server_gen_throughput,server_utilization,spec_accept_rate,spec_accept_length,avg_running_reqs,max_running_reqs,queue_fraction,completed_request_count,num_errors,capacity_limited,underfilled,warmup_timed_out,measurement_seconds,source_file
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c32-ctx134144,32,134144,788.204,24.631,14480.839,15732.145,16021.682,16053.059,38.553,39.042,41.601,42.006,26.133,25.613,38.158,788.204,0.6449,0.1819,0.0,32.0,32,0.0,1,0,False,False,False,60.19,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c32-ctx131k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,2,c1-ctx0,1,0,90.366,90.366,64.666,63.735,71.584,73.35,10.867,10.767,11.498,11.663,92.327,92.875,89.051,90.366,0.0163,0.1818,0.0,1,1,0.0,2,0,False,False,False,60.32,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run2/c1-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,2,c1-ctx16384,1,16384,93.012,93.012,143.807,144.07,146.869,147.499,10.615,10.776,10.961,11.002,94.344,92.798,94.533,93.012,0.0311,0.2879,0.0,1,1,0.0,2,0,False,False,False,60.41,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run2/c1-ctx16k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,2,c1-ctx32768,1,32768,92.867,92.867,233.094,233.164,233.851,234.005,10.692,10.56,10.942,11.028,93.58,94.696,94.101,92.867,0.0467,0.1914,0.0,1,1,0.0,2,0,False,False,False,60.34,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run2/c1-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,2,c1-ctx65536,1,65536,89.589,89.589,297.861,290.399,310.833,315.431,10.979,10.785,11.275,11.385,91.145,92.725,89.26,89.589,0.0762,0.2695,0.0,1.0,1,0.0,2,0,False,False,False,60.32,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run2/c1-ctx64k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,2,c1-ctx134144,1,134144,82.101,82.101,512.371,510.626,518.083,519.76,11.73,11.86,11.974,12.0,85.304,84.314,82.144,82.101,0.1385,0.2258,0.0,1.0,1,0.0,2,0,False,False,False,60.34,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run2/c1-ctx131k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,2,c2-ctx0,2,0,171.411,85.705,123.967,134.174,138.602,140.994,11.393,11.44,12.044,12.176,88.071,87.439,84.881,171.411,0.0319,0.1699,0.0,2,2,0.0,4,0,False,False,False,60.36,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run2/c2-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,2,c2-ctx16384,2,16384,171.148,85.574,208.01,202.343,260.845,275.424,11.522,11.519,11.895,12.054,86.872,86.826,86.766,171.197,0.0475,0.1593,0.0,2,2,0.0,4,0,False,False,False,60.37,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run2/c2-ctx16k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,2,c2-ctx32768,2,32768,171.313,85.657,312.136,284.923,381.134,450.73,11.471,11.63,11.928,12.006,87.411,85.991,86.894,171.313,0.0622,0.2177,0.0,2,2,0.0,4,0,False,False,False,60.33,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run2/c2-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,2,c2-ctx65536,2,65536,170.222,85.111,423.947,368.31,541.07,543.314,11.405,11.055,12.494,12.754,88.108,90.462,85.07,170.222,0.0918,0.25,0.0,2,2,0.0,4,0,False,False,False,60.39,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run2/c2-ctx64k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,2,c2-ctx134144,2,134144,168.092,84.046,709.103,593.119,969.638,971.448,11.635,11.62,11.914,11.928,85.982,86.071,84.287,168.092,0.154,0.2651,0.0,2.0,2,0.0,4,0,False,False,False,60.38,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run2/c2-ctx131k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,2,c4-ctx0,4,0,324.396,81.099,132.568,138.973,147.522,176.682,12.036,11.843,13.033,13.386,83.385,84.438,81.299,324.396,0.063,0.1906,0.0,4.0,4,0.0,8,0,False,False,False,60.31,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run2/c4-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,2,c4-ctx16384,4,16384,331.918,82.98,274.51,211.139,456.619,458.76,11.833,11.63,12.662,13.119,84.744,85.986,82.773,332.034,0.0786,0.25,0.0,4.0,4,0.0,8,0,False,False,False,60.36,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run2/c4-ctx16k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,2,c4-ctx32768,4,32768,327.023,81.756,446.347,288.42,766.18,770.055,11.949,12.131,12.743,12.892,84.052,82.454,82.215,327.023,0.0949,0.1606,0.0,3.9,4,0.0,8,0,False,False,False,60.32,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run2/c4-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,2,c4-ctx65536,4,65536,313.895,78.474,587.07,382.537,1006.919,1011.208,12.195,12.429,13.093,13.169,82.366,80.465,77.27,313.895,0.1221,0.2221,0.0,4.0,4,0.0,8,0,False,False,False,60.37,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run2/c4-ctx64k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,2,c4-ctx134144,4,134144,296.005,74.001,924.843,613.556,1873.562,1879.546,12.869,13.209,13.806,13.845,77.988,75.708,73.408,296.005,0.1844,0.2674,0.0,3.9,4,0.0,8,0,False,False,False,60.33,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run2/c4-ctx131k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,2,c8-ctx0,8,0,588.075,73.509,163.062,149.142,205.84,206.491,13.057,12.842,14.378,15.148,77.156,77.872,73.626,588.075,0.1229,0.2622,0.0,8.0,8,0.0,16,0,False,False,False,60.31,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run2/c8-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,2,c8-ctx16384,8,16384,565.255,70.657,389.806,228.224,801.925,861.908,13.135,13.074,15.315,15.822,78.627,76.487,70.667,565.255,0.1377,0.2768,0.0,8.0,8,0.0,16,0,False,False,False,60.35,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run2/c8-ctx16k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,2,c8-ctx32768,8,32768,536.116,67.014,763.047,319.465,1528.212,1530.508,13.653,14.319,15.897,16.268,76.303,69.838,67.229,536.116,0.1564,0.2332,0.0,8.0,8,0.0,14,0,False,False,False,60.31,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run2/c8-ctx32k.json
