experiment,build,config,phase,rep,cell,concurrency,context_tokens,aggregate_tps,per_request_avg_tps,ttft_avg_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,itl_avg_ms,itl_p50_ms,itl_p90_ms,itl_p99_ms,output_tps_per_user_avg,output_tps_per_user_p50,e2e_output_tps_per_user_avg,server_gen_throughput,server_utilization,spec_accept_rate,spec_accept_length,avg_running_reqs,max_running_reqs,queue_fraction,completed_request_count,num_errors,capacity_limited,underfilled,warmup_timed_out,measurement_seconds,source_file
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,2,c1-ctx16384,1,16384,99.084,99.084,212.473,212.307,212.817,213.01,9.742,9.823,10.199,10.282,102.887,101.827,99.29,99.084,0.013,0.5877,0.0,1.0,1,0.0,3,0,False,False,False,60.34,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run2/c1-ctx16k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,2,c1-ctx32768,1,32768,97.717,97.717,266.143,266.039,267.192,267.362,9.582,10.01,10.166,10.168,105.256,99.922,98.176,97.717,0.0209,0.7895,0.0,1,1,0.0,3,0,False,False,False,60.31,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run2/c1-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,2,c1-ctx65536,1,65536,93.365,93.365,442.077,442.245,442.266,442.27,10.525,10.748,10.758,10.76,95.109,93.038,91.201,93.365,0.0375,0.5185,0.0,1.0,1,0.0,2,0,False,False,False,60.26,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run2/c1-ctx64k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,2,c1-ctx134144,1,134144,85.388,85.388,760.62,761.621,762.271,762.417,11.327,11.388,11.576,11.619,88.332,87.812,84.239,85.388,0.0707,0.4848,0.0,1.0,1,0.0,2,0,False,False,False,60.36,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run2/c1-ctx131k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,2,c2-ctx0,2,0,196.595,98.298,114.785,121.2,124.594,130.521,10.034,9.997,10.245,10.331,99.689,100.033,98.697,196.595,0.0103,0.4414,0.0,2,2,0.0,6,0,False,False,False,60.31,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run2/c2-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,2,c2-ctx16384,2,16384,194.578,97.289,268.905,246.536,309.891,391.125,9.78,10.071,10.36,10.832,102.781,99.295,97.685,194.578,0.0186,0.7934,0.0,2,2,0.0,6,0,False,False,False,60.35,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run2/c2-ctx16k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,2,c2-ctx32768,2,32768,188.93,94.465,346.536,315.873,413.147,485.299,10.385,10.436,10.708,10.793,96.376,95.827,94.792,188.93,0.0209,0.4009,0.0,2,2,0.0,5,0,False,False,False,60.32,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run2/c2-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,2,c2-ctx65536,2,65536,184.52,92.26,589.558,496.508,778.193,883.877,10.63,10.625,10.997,11.104,94.161,94.12,92.502,184.52,0.0439,0.4954,0.0,2.0,2,0.0,4,0,False,False,False,60.33,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run2/c2-ctx64k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,2,c2-ctx134144,2,134144,168.722,84.361,994.352,893.119,1287.828,1427.659,11.425,11.412,11.72,11.827,87.569,87.626,83.009,168.722,0.077,0.4697,0.0,2.0,2,0.0,4,0,False,False,False,60.35,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run2/c2-ctx131k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,2,c4-ctx0,4,0,391.526,97.881,131.799,121.332,164.587,198.104,9.916,9.978,10.489,10.608,101.088,100.219,98.314,391.658,0.0205,0.4868,0.0,4.0,4,0.0,12,0,False,False,False,60.33,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run2/c4-ctx0.json
